Metai;Menuo;Gimusiu Berniuku;Gimusiu Mergaiciu;Is viso;Is ju uzsienyje gime vaikai;Ivaikinta;Mirusiu moteru;Mirusiu vyru;Is viso;Populiariausi Vardai
2017;sausis;9;14;23;10;0;16;17;33;
2017;vasaris;6;12;18;3;0;12;14;26;
2017;kovas;13;10;23;6;0;9;10;19;
2017;balandis;10;7;17;6;0;14;5;19;
2017;geguze;12;11;23;6;0;15;16;31;
2017;birzelis;13;14;27;22;0;11;18;29;
2017;liepa;20;27;47;28;0;10;8;18;
2017;rugpjutis;14;14;28;11;0;8;14;22;
2017;rugsejis;16;8;24;8;0;10;5;15;
2017;spalis;9;8;17;5;0;15;6;21;
2017;lapkritis;12;8;20;8;0;10;11;21;
2017;gruodis;9;14;23;7;0;11;6;17;
2017;Per metus;143;147;290;120;0;271;141;412;Alisa Viktorija Artiom Aleksandr
2018;sausis;8;9;17;2;0;14;15;29;
2018;vasaris;10;11;21;3;0;13;11;24;
2018;kovas;7;8;15;7;0;7;15;22;
2018;balandis;7;7;14;6;0;9;12;21;
2018;geguze;12;12;24;6;0;6;12;18;
2018;birzelis;10;18;28;12;0;9;13;22;
2018;liepa;16;7;23;11;0;11;15;26;
2018;rugpjutis;18;17;35;23;0;10;17;27;
2018;rugsejis;10;10;20;5;0;10;14;24;
2018;spalis;7;12;19;7;0;18;9;27;
2018;lapkritis;9;11;20;6;0;13;10;23;
2018;gruodis;7;5;12;5;0;8;17;25;
2018;Per metus;121;127;248;93;0;128;160;288;Alisa Ana Artiom Kiril
2019;sausis;9;12;21;5;0;11;19;30;
2019;vasaris;8;7;15;3;0;16;16;32;
2019;kovas;6;8;14;3;0;14;5;19;
2019;balandis;11;7;18;3;0;5;13;18;
2019;geguze;10;12;22;8;0;7;10;17;
2019;birzelis;14;8;22;10;0;12;9;21;
2019;liepa;20;21;41;25;0;9;20;29;
2019;rugpjutis;16;16;32;23;0;16;12;28;
2019;rugsejis;8;12;20;3;0;10;9;19;
2019;spalis;13;11;24;4;0;13;13;26;
2019;lapkritis;7;12;19;10;0;20;17;37;
2019;gruodis;8;10;18;8;0;20;9;29;
2019;Per metus;130;136;266;93;0;153;152;305;Alisa Polina Mark Daniil
2020;sausis;13;11;24;7;1;18;16;34;
2020;vasaris;9;4;13;3;0;11;8;19;
2020;kovas;5;10;15;4;0;8;8;16;
2020;balandis;2;6;8;1;0;8;12;20;
2020;geguze;3;3;6;-;0;14;8;22;
2020;birzelis;13;7;20;5;0;10;14;24;
2020;liepa;12;13;25;18;0;10;17;27;
2020;rugpjutis;11;9;20;12;0;5;7;12;
2020;rugsejis;7;7;14;4;0;8;20;28;
2020;spalis;10;13;23;5;0;13;15;28;
2020;lapkritis;6;5;11;5;0;11;11;22;
2020;gruodis;3;6;9;3;0;13;21;34;
2020;Per metus;94;94;188;67;1;129;157;286;Amelija Milana Daniel Kiril
2021;sausis;4;6;10;1;0;19;20;39;
2021;vasaris;4;4;8;1;0;11;16;27;
2021;kovas;7;14;21;3;1;18;22;40;
2021;balandis;4;6;10;2;0;19;15;34;
2021;geguze;1;11;12;3;0;12;18;30;
2021;birzelis;9;11;20;7;0;9;14;23;
2021;liepa;12;16;28;19;0;10;12;12;
2021;rugpjutis;16;13;29;12;0;13;12;25;
2021;rugsejis;7;10;17;5;0;18;7;25;
2021;spalis;4;8;12;1;0;16;14;30;
2021;lapkritis;2;9;11;3;0;29;17;46;
2021;gruodis;3;10;13;6;0;16;15;31;
2021;Per metus;73;118;191;63;1;190;182;372;Milana Emilija Nikita Aleksandr
